"tick";"Accuracy_run0";"Accuracy_run1";"Accuracy_run2";"Accuracy_run3";"Accuracy_run4";"Accuracy_run5";"Accuracy_run6";"Accuracy_run7";"Accuracy_run8";"Accuracy_run9";"Accuracy_run10";"Accuracy_run11";"Accuracy_run12";"Accuracy_run13";"Accuracy_run14";"Accuracy_run15";"Accuracy_run16";"Accuracy_run17";"Accuracy_run18";"Accuracy_run19";"Accuracy_run20";"Accuracy_run21";"Accuracy_run22";"Accuracy_run23";"Accuracy_run24";"Accuracy_run25";"Accuracy_run26";"Accuracy_run27";"Accuracy_run28";"Accuracy_run29";"Accuracy_run30";"Accuracy_run31";"Accuracy_run32";"Accuracy_run33";"Accuracy_run34";"Accuracy_run35";"Accuracy_run36";"Accuracy_run37";"Accuracy_run38";"Accuracy_run39";"Accuracy_run40";"Accuracy_run41";"Accuracy_run42";"Accuracy_run43";"Accuracy_run44";"Accuracy_run45";"Accuracy_run46";"Accuracy_run47";"Accuracy_run48";"Accuracy_run49";"Time for detection_run0";"Time for detection_run1";"Time for detection_run2";"Time for detection_run3";"Time for detection_run4";"Time for detection_run5";"Time for detection_run6";"Time for detection_run7";"Time for detection_run8";"Time for detection_run9";"Time for detection_run10";"Time for detection_run11";"Time for detection_run12";"Time for detection_run13";"Time for detection_run14";"Time for detection_run15";"Time for detection_run16";"Time for detection_run17";"Time for detection_run18";"Time for detection_run19";"Time for detection_run20";"Time for detection_run21";"Time for detection_run22";"Time for detection_run23";"Time for detection_run24";"Time for detection_run25";"Time for detection_run26";"Time for detection_run27";"Time for detection_run28";"Time for detection_run29";"Time for detection_run30";"Time for detection_run31";"Time for detection_run32";"Time for detection_run33";"Time for detection_run34";"Time for detection_run35";"Time for detection_run36";"Time for detection_run37";"Time for detection_run38";"Time for detection_run39";"Time for detection_run40";"Time for detection_run41";"Time for detection_run42";"Time for detection_run43";"Time for detection_run44";"Time for detection_run45";"Time for detection_run46";"Time for detection_run47";"Time for detection_run48";"Time for detection_run49"
"500";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"520";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"9.0";"0.0";"0.0";"9.5";"0.0";"9.0";"0.0";"9.0";"0.0";"0.0";"0.0";"7.0";"0.0";"0.0";"9.0";"0.0";"9.0";"8.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"9.5";"0.0";"0.0";"0.0";"7.0";"10.666666666666666";"0.0";"10.0";"0.0";"7.666666666666667";"12.0";"8.0";"13.0";"12.333333333333334";"0.0";"0.0";"0.0";"10.0";"0.0";"0.0";"0.0";"7.0";"0.0";"11.0"
"540";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"18.666666666666668";"9.75";"11.5";"10.0";"0.0";"12.5";"0.0";"11.666666666666666";"9.333333333333334";"0.0";"7.0";"10.5";"0.0";"11.0";"10.0";"12.666666666666666";"10.666666666666666";"17.5";"13.0";"11.5";"8.5";"13.8";"9.0";"9.0";"12.0";"0.0";"11.5";"0.0";"0.0";"12.25";"7.0";"10.666666666666666";"0.0";"10.0";"9.333333333333334";"7.666666666666667";"13.75";"14.7";"13.75";"12.333333333333334";"10.0";"19.333333333333332";"12.25";"12.0";"16.0";"9.0";"7.666666666666667";"10.666666666666666";"9.0";"11.0"
"560";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"18.666666666666668";"9.75";"15.666666666666666";"11.375";"15.333333333333334";"11.5";"0.0";"9.875";"9.25";"9.0";"7.0";"10.625";"9.0";"11.0";"10.0";"14.0";"10.666666666666666";"22.333333333333332";"13.0";"11.5";"11.25";"14.5";"9.0";"12.8";"11.666666666666666";"0.0";"11.5";"14.666666666666666";"11.333333333333334";"12.25";"8.375";"10.666666666666666";"8.0";"9.666666666666666";"9.333333333333334";"7.666666666666667";"14.6";"17.1";"13.75";"11.333333333333334";"16.0";"19.333333333333332";"12.25";"12.0";"16.0";"16.0";"7.666666666666667";"10.666666666666666";"16.333333333333332";"11.0"
"580";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"16.5";"9.75";"15.666666666666666";"12.0";"15.333333333333334";"12.2";"13.0";"13.1";"15.6";"10.0";"11.2";"12.125";"9.0";"11.4";"10.7";"14.0";"15.0";"22.333333333333332";"13.1";"11.5";"10.0";"18.2";"9.0";"12.8";"11.666666666666666";"0.0";"12.6";"14.666666666666666";"11.333333333333334";"12.25";"10.3";"11.0";"9.666666666666666";"9.666666666666666";"8.625";"13.5";"14.6";"22.3";"14.2";"11.4";"16.0";"19.333333333333332";"12.25";"11.4";"14.5";"12.5";"7.666666666666667";"10.125";"16.333333333333332";"11.0"
"600";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"18.433333333333334";"9.75";"15.666666666666666";"12.291666666666666";"11.875";"11.533333333333335";"13.0";"13.1";"15.033333333333331";"10.0";"11.2";"12.125";"10.5";"11.7";"10.7";"14.0";"15.0";"22.333333333333332";"14.0";"11.5";"10.0";"18.2";"10.875";"12.8";"11.666666666666666";"12.5";"12.6";"12.5";"12.0";"12.25";"10.3";"15.6";"8.6";"9.666666666666666";"12.2";"13.5";"14.9";"22.3";"14.2";"12.6";"16.0";"19.333333333333332";"11.4";"11.4";"14.5";"12.5";"13.2";"10.125";"16.333333333333332";"11.0"
"620";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"20.033333333333335";"9.75";"15.666666666666666";"16.93333333333333";"11.875";"11.533333333333335";"11.0";"13.1";"14.48333333333333";"10.0";"9.233333333333333";"12.125";"10.5";"11.7";"11.1";"11.4";"14.875";"22.333333333333332";"13.9";"11.5";"13.833333333333334";"15.633333333333331";"10.875";"13.9";"10.875";"12.5";"11.4";"12.5";"14.75";"12.25";"10.5";"15.6";"9.766666666666667";"14.3";"12.2";"12.1";"16.566666666666666";"19.866666666666667";"14.2";"12.6";"16.0";"19.333333333333332";"11.2";"11.4";"14.5";"11.1";"13.2";"10.125";"14.75";"11.0"
"640";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"19.666666666666664";"9.75";"15.666666666666666";"14.216666666666665";"11.875";"11.533333333333335";"11.0";"13.1";"13.95";"10.0";"9.233333333333333";"12.125";"9.9";"11.7";"10.666666666666668";"14.833333333333334";"15.75";"22.333333333333332";"13.9";"11.5";"13.833333333333334";"15.633333333333331";"10.625";"13.9";"10.875";"12.25";"11.333333333333332";"12.5";"19.4";"13.125";"11.3";"15.6";"13.366666666666669";"14.3";"11.533333333333333";"12.6";"16.566666666666666";"19.866666666666667";"14.2";"11.6";"16.0";"19.333333333333332";"11.2";"11.4";"14.3";"11.1";"13.2";"10.125";"13.875";"11.0"
"660";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"17.816666666666666";"9.75";"15.666666666666666";"13.933333333333332";"14.1";"11.266666666666667";"11.866666666666667";"12.8";"13.95";"10.0";"9.233333333333333";"12.125";"9.9";"11.2";"11.866666666666667";"14.533333333333335";"15.75";"22.333333333333332";"13.9";"11.3";"11.883333333333333";"15.633333333333331";"10.625";"13.9";"10.875";"11.9";"14.2";"14.366666666666665";"19.4";"13.125";"11.3";"15.6";"16.1";"14.3";"11.533333333333333";"12.6";"16.566666666666666";"19.35";"14.2";"11.6";"16.0";"16.333333333333332";"13.9";"11.4";"16.066666666666666";"11.266666666666667";"13.2";"10.125";"18.5";"11.0"
"680";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"17.816666666666666";"10.2";"15.666666666666666";"15.51";"14.1";"12.633333333333333";"11.866666666666667";"12.8";"13.966666666666665";"10.0";"9.6";"12.125";"9.9";"12.4";"14.2";"14.41";"15.75";"22.333333333333332";"13.9";"11.3";"11.883333333333333";"15.633333333333331";"10.666666666666668";"14.0";"10.875";"12.766666666666666";"13.4";"14.366666666666665";"16.5";"13.125";"10.933333333333334";"15.6";"16.0";"16.766666666666666";"11.266666666666667";"12.6";"16.566666666666666";"19.7";"12.866666666666669";"11.6";"14.4";"18.0";"13.9";"11.4";"16.066666666666666";"11.266666666666667";"13.2";"10.125";"18.5";"11.0"
